Phase,ISS_Num_Resolved,ISS_Num_Unresolved,Personnel,Estimated Effort,Accu_Trivial,Accu_Minor,Accu_Major,Accu_Critical,Accu_Block,Csmell,Svul,RISK1,RISK2,RISK3,RISK4,RISK5
1,131,169,8,3840,0,3,0,0,0,1129,17,0,0,0,1,0
2,281,568,8,7680,0,2,8,0,0,982,41,0,0,0,1,0
3,541,453,8,19200,3,12,17,0,0,1321,81,0,1,0,0,0
4,281,271,8,13840,5,14,21,0,0,1523,163,0,1,0,0,0
1,231,109,16,2320,13,2,2,3,4,313,18,0,1,0,0,0
2,441,148,16,4310,4,4,8,16,4,583,23,1,0,0,0,0
3,1341,503,16,24230,17,12,32,12,8,632,30,0,1,0,0,0
4,441,571,16,23920,5,14,21,17,6,802,54,0,0,0,0,1
